Name & Authors,Year,"Crypto, cryptanalysis, or out of scope? (1 through 3)",Summary of the contribituon,Application engagement (1 throgh 4),Application engagement subtheme,Motivating Application (Typology)
"Shweta Agrawal et al.: Broadcast, Trace and Revoke with Optimal Parameters from Polynomial Hardness. (2023)",2023,,,,,
Shuai Han et al.: Almost Tight Multi-user Security Under Adaptive Corruptions & Leakages in the Standard Model. (2023),2023,,,,,
Paul Rösler et al.: Unique-Path Identity Based Encryption with Applications to Strongly Secure Messaging. (2023),2023,1,they build bounded-depth UPIBE from only bounded-collusion IBE in the standard model; and we generically build adaptive unbounded-depth UPIBE from only selective bounded depth HIBE in the random oracle model. (It is basically some way of improving efficiency in public key messaging,2,a,MSG
Minki Hhan et al.: From the Hardness of Detecting Superpositions to Cryptography: Quantum Public Key Encryption and Commitments. (2023),2023,,,,,
Pratish Datta et al.: Fully Adaptive Decentralized Multi-Authority ABE. (2023),2023,,,,,
Shiduo Zhang et al.: Improved Power Analysis Attacks on Falcon. (2023),2023,,,,,
Qipeng Liu: Non-uniformity and Quantum Advice in the Quantum Random Oracle Model. (2023),2023,,,,,
"Sanketh Menda et al.: Context Discovery and Commitment Attacks - How to Break CCM, EAX, SIV, and More. (2023)",2023,,,,,
Rupeng Yang: Privately Puncturing PRFs from Lattices: Adaptive Security and Collusion Resistant Pseudorandomness. (2023),2023,,,,,
Quang Dao and Paul Grubbs: Spartan and Bulletproofs are Simulation-Extractable (for Free!). (2023),2023,1,"prove that two transparent, discrete-logbased zkSNARKs, Spartan and Bulletproofs, are simulation-extractable (SIM-EXT) in the random oracle model if the discrete logarithm assumption holds in the underlying group.",2,a,"6-BLK,VOT"
Rachit Garg et al.: On Non-uniform Security for Black-Box Non-interactive CCA Commitments. (2023),2023,,,,,
Rex Fernando et al.: Maliciously-Secure MrNISC in the Plain Model. (2023),2023,1,Our main result is the first maliciously secure SPS MrNISC in the plain model.,1,b,CRY
Tako Boris Fouotsa et al.: M-SIDH and MD-SIDH: Countering SIDH Attacks by Masking Information. (2023),2023,2,"We present a preliminary analysis of the resulting schemes including non-trivial generalizations of prior attacks. Based on this analysis we suggest parameters for our M-SIDH variant with public key sizes of 4434, 7037 and 9750 bytes respectively for NIST security levels 1, 3, 5.",3,a,"PQC,NIST"
Xinyu Mao et al.: Non-adaptive Universal One-Way Hash Functions from Arbitrary One-Way Functions. (2023),2023,1,we give the first non-adaptive construction of universal one-way hash functions (UOWHFs) from arbitrary one-way functions.,1,"a,b",CRY
Xiaojie Guo et al.: Half-Tree: Halving the Cost of Tree Expansion in COT and DPF. (2023),2023,,,,,
Xavier Bonnetain et al.: Finding Many Collisions via Reusable Quantum Walks - Application to Lattice Sieving. (2023),2023,1,a chained quantum walk algorithm to solve the multiple collision search problem,1,"a,b","PQC,CRY"
Markulf Kohlweiss et al.: Privacy-Preserving Blueprints. (2023),2023,1,"They introduce an updatable privacy-preserving blueprint schemes (UPPB), which enhance the original notion with the ability for multiple users to non-interactively update the private user input x while blueprinting",3,a,"AUT,GVE,CUR"
Marshall Ball et al.: New Ways to Garble Arithmetic Circuits. (2023),2023,,,,,
Wouter Castryck and Thomas Decru: An Efficient Key Recovery Attack on SIDH. (2023),2023,,,,,
Varun Narayanan et al.: Complete Characterization of Broadcast and Pseudo-signatures from Correlations. (2023),2023,1,"we realize pseudo-signatures, which are information theoretic counterparts of digital signatures using which unconditionally secure broadcast may be obtained.",2,c,1-BLK
Robin Geelen et al.: On Polynomial Functions Modulo p<sup>e</sup> and Faster Bootstrapping for Homomorphic Encryption. (2023),2023,,,,,
Yael Tauman Kalai et al.: SNARGs and PPAD Hardness from the Decisional Diffie-Hellman Assumption. (2023),2023,,,,,
Mathias Hall-Andersen and Jesper Buus Nielsen: On Valiant's Conjecture - Impossibility of Incrementally Verifiable Computation from Random Oracles. (2023),2023,,,,,
Suvradip Chakraborty et al.: Reverse Firewalls for Oblivious Transfer Extension and Applications to Zero-Knowledge. (2023),2023,,,,,
Suvradip Chakraborty et al.: Deniable Authentication When Signing Keys Leak. (2023),2023,,,,,
Megan Chen et al.: Proof-Carrying Data from Arithmetized Random Oracles. (2023),2023,,,,,
Susan Hohenberger et al.: Registered Attribute-Based Encryption. (2023),2023,,,,,
Mingxun Zhou et al.: A Theory of Composition for Differential Obliviousness. (2023),2023,1,"we are the first to explore a theory of composition for differentially oblivious algorithms. We propose a refinement of the DO notion called (ε, δ)-neighbor-preserving-DO, or (ε, δ)-NPDO",3,a,"DDC,CC,1-BLK,MSG,HWM"
Mingxun Zhou et al.: Optimal Single-Server Private Information Retrieval. (2023),2023,,,,,
Guy N. Rothblum: Indistinguishable Predictions and Multi-group Fair Learning. (2023),2023,X,X,X,X,
Geoffroy Couteau et al.: Constrained Pseudorandom Functions from Homomorphic Secret Sharing. (2023),2023,,,,,
"Carmit Hazay and Martijn Stam: Advances in Cryptology - EUROCRYPT 2023 - 42nd Annual International Conference on the Theory and Applications of Cryptographic Techniques, Lyon, France, April 23-27, 2023, Proceedings, Part I (2023)",2023,X,X,X,X,
Carlos Aguilar Melchor et al.: The Return of the SDitH. (2023),2023,1,This paper presents a code-based signature scheme based on the well-known syndrome decoding (SD) problem.,2,b,"ML,VOT,NIST,PQC,AUT"
Giuseppe Persiano and Kevin Yeo: Lower Bound Framework for Differentially Private and Oblivious Data Structures. (2023),2023,,,,,
Bruno Freitas Dos Santos et al.: Randomized Half-Ideal Cipher on Groups with Applications to UC (a)PAKE. (2023),2023,,,,,
