Name & Authors,Year,"Crypto, cryptanalysis, or out of scope? (1 through 3)",Summary of the contribituon,Application engagement (1 throgh 4),Application engagement subtheme,Motivating Application (Typology)
Carsten Baum et al.: Publicly Verifiable Zero-Knowledge and Post-Quantum Signatures from VOLE-in-the-Head. (2023),2023,1,"We present a new method for transforming zero-knowledge protocols in the designated verifier setting into public-coin protocols, which can be made non-interactive and publicly verifiable. Our transformation applies to a large class of ZK protocols based on oblivious transfer.",2,a,"PQC,6-BLK"
Russell W. F. Lai and Giulio Malavolta: Lattice-Based Timed Cryptography. (2023),2023,,,,,
"Sanjam Garg et al.: Cryptography with Weights: MPC, Encryption and Signatures. (2023)",2023,1,"we consider weighted cryptosystems where every party is assigned a certain weight and the trust assumption is that a certain fraction of the total weight is honest. This setting can be translated to the standard setting (where each party has a unit weight) via virtualization. However, this method is quite expensive, incurring a multiplicative overhead in the weight. We present new weighted cryptosystems with significantly better efficiency: our proposed schemes incur only an additive overhead in weights.",2,c,"1-BLK,6-BLK"
Michele Ciampi et al.: List Oblivious Transfer and Applications to Round-Optimal Black-Box Multiparty Coin Tossing. (2023),2023,1,"In this work, we show how to realize any input-less functionality (e.g., coin-tossing, generation of key-pairs, and so on) in four rounds while making black-box use of two-round oblivious transfer.",1,a,CRY
Miran Kim et al.: Accelerating HE Operations from Key Decomposition Technique. (2023),2023,,,,,
Zvika Brakerski: Black-Hole Radiation Decoding Is Quantum Cryptography. (2023),2023,,,,,
Melissa Chase et al.: Anonymous Tokens with Stronger Metadata Bit Hiding from Algebraic MACs. (2023),2023,,,,,
Ran Cohen et al.: Completeness Theorems for Adaptively Secure Broadcast. (2023),2023,,,,,
Ben Fisch et al.: Orbweaver: Succinct Linear Functional Commitments from Lattices. (2023),2023,1,"Orbweaver, the first plausibly post-quantum functional commitment to achieve quasilinear prover time together with O(log n) proof size and O(log n log log n) verifier time. Orbweaver enables evaluation of linear maps on committed vectors over cyclotomic rings or the integers.",1,a,CRY
Miroslaw Kutylowski et al.: Anamorphic Signatures: Secrecy from a Dictator Who Only Permits Authentication! (2023),2023,,,,,
Quang Dao et al.: Multi-party Homomorphic Secret Sharing and Sublinear MPC from Sparse LPN. (2023),2023,,,,,
Muhammed F. Esgin et al.: Efficient Hybrid Exact/Relaxed Lattice Proofs and Applications to Rounding and VRFs. (2023),2023,1," the
construction of lattice-based long-term (stateless) Verifiable Random Functions
(VRFs). A VRF is a type of pseudorandom function whose output is both authenticated and publicly verifiable [MRV99]. ",2,a,CRY
Nicolas Aragon et al.: Analysis of the Security of the PSSI Problem and Cryptanalysis of the Durandal Signature Scheme. (2023),2023,,,,,
Prabhanjan Ananth et al.: Cloning Games: A General Framework for Unclonable Primitives. (2023),2023,1,"a new framework called cloning games. This framework captures many fundamental unclonable primitives such as quantum money, copy-protection, unclonable encryption, single-decryptor encryption, and many more.",2,a,"PQC,CUR,SE"
Brent Waters and Daniel Wichs: Universal Amplification of KDM Security: From 1-Key Circular to Multi-Key KDM. (2023),2023,,,,,
Benny Applebaum et al.: How to Recover a Secret with O(n) Additions. (2023),2023,1,we initiate the study of n-party secret-sharing schemes whose reconstruction algorithm makes a minimal number of additions.,1,"a,b",CRY
Peter Gazi et al.: Practical Settlement Bounds for Longest-Chain Consensus. (2023),2023,,,,,
Pedro Branco et al.: A Framework for Statistically Sender Private OT with Optimal Rate. (2023),2023,1,"In this work we provide a novel construction of SSP OT from the Decisional Diffie-Hellman (DDH) and the Learning Parity with Noise (LPN) assumptions achieving (asymptotically) optimal amortized communication complexity, i.e. it achieves rate 1.",1,"a,b",CRY
Parker Newton and Silas Richelson: A Lower Bound for Proving Hardness of Learning with Rounding with Polynomial Modulus. (2023),2023,,,,,
Nir Bitansky et al.: Non-interactive Universal Arguments. (2023),2023,,,,,
Orr Dunkelman et al.: Practical-Time Related-Key Attack on GOST with Secret S-Boxes. (2023),2023,,,,,
